"Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","Predict.RainTomorrow","R_predicted_RainTomorrow"
2011,9,13,"Albury",8.93056470108036,15.8,0.486434395848777,4.85323149236193,7.98491017964072,"N",43.6373657690563,"N","W",15.6643192488263,20.7894019848124,62.904670646783,48.5597775865192,1018.84660814046,1023.9,3.75446302555146,3.85881255809114,15.1400513950073,15.1,NA,NA,0,"0"
2011,10,10,"Albury",3.2,14.4,2,5.28610478359909,7.57427912341407,"SSE",41.8081570996979,"NNW","W",4,24,64,48,1010.6,1010,6.11467889908257,5.82075471698113,10.2,13.5,1,NA,0,"0"
2012,10,5,"Albury",7.5,24.3,0,6.15502824858757,8.87059538274605,"WNW",41.3591234347048,"ENE","WNW",4,22,50,34,1015.5,1014.7,3.66115702479339,1,19.5,23.6,0,NA,0,"0"
2013,5,7,"Albury",3.9,20.3534196547145,0,3.28388123011665,6.21518518518519,"N",34.5416666666667,"N","N",0,15.840990990991,72,49.9344262295082,1028.6,1018.19575233981,4.06408345752608,4.52631578947368,9.8,19.1859719438878,0,NA,0,"0"
2013,5,8,"Albury",9.78624001101057,21.9,0.535047361299053,3.28388123011665,6.21518518518519,"N",36.0679086925704,"N","N",12.7276030057612,16.497127939263,74.6368588303945,53.9703147024998,1030.7,1027,4.48051990524252,4.81130750441763,11.7,21.6,NA,NA,0,"0"
2013,5,9,"Albury",9.78624001101057,22.3,0.535047361299053,3.28388123011665,6.21518518518519,"N",36.0679086925704,"N","N",12.7276030057612,16.497127939263,74.6368588303945,53.9703147024998,1031.7,1027.9,4.48051990524252,4.81130750441763,12.5,21.7,NA,NA,0,"0"
2013,10,10,"Albury",11.1,26,0,6.61476655808903,8.79901356350185,"ENE",28,"ENE","S",7,11,68,50,1007.7,1003.4,3.35571428571429,3.45961002785515,17.4,25.9,0,NA,0,"0"
2014,6,4,"Albury",11,14.6,1.4,2.76762778505898,5.46378066378066,"W",41.1232492997199,"NE","WNW",6,11,100,80,1026.2,1025.6,8,5.91764705882353,11.8,14.3,1,NA,0,"0"
2014,9,21,"Albury",3.4,21.4870483980913,0,5.17105606258149,8.16888567293777,"N",39.4790718835305,"ESE","SSE",9,11,67,43,1030.6,1027.5,3.45504840940526,3.6951724137931,12.2,18.6,0,NA,0,"0"
2014,9,22,"Albury",9.49233850073922,21.4870483980913,0.391334730957372,5.17105606258149,8.16888567293777,"N",40.7050454312594,"N","NE",14.7582166677278,19.3258173951505,64.2480503473453,47.5565325195511,1019.51604215457,1016.61578125,3.77095040727836,3.94525610799794,15.7249829584185,20.0664846416382,NA,NA,0,"0"
2014,9,23,"Albury",9.49233850073922,24.1,0.391334730957372,5.17105606258149,8.16888567293777,"N",40.7050454312594,"N","NE",14.7582166677278,19.3258173951505,64.2480503473453,47.5565325195511,1019.51604215457,1024,3.77095040727836,3.94525610799794,15.7249829584185,22.3,NA,NA,0,"0"
2014,10,2,"Albury",3.8,18.4,0,6.96683738796415,9.04295874822191,"W",39,"E","W",6,28,65,54,1024.2,1020.7,3.57236842105263,3.39811066126856,11.2,17.5,0,NA,0,"0"
2017,2,19,"Albury",7.6,22.4,0,7.96933867735471,8.85434173669468,"W",67,"ENE","WNW",6,20,54,31,1010.9,1008.5,4.43700787401575,2,14.5,20.9,0,NA,0,"0"
2017,3,12,"Albury",18.6,36,0,6.91496212121212,7.57291139240506,"WSW",69,"ENE","NW",7,30,35,12,1004.9,1001.2,6,1,23.7,34.4,0,NA,0,"0"
2017,3,20,"Albury",20,33.1,0,6.91496212121212,7.57291139240506,"WNW",37,"ESE","NE",4,13,59,46,1016.8,1013,4.51039697542533,4,24.6,30.8,0,NA,0,"0"
2017,3,21,"Albury",16.9774173321054,25.2,0.590620782726046,6.91496212121212,7.57291139240506,"SE",40.0001226447871,"SE","SE",13.5682250316312,18.1614556925526,72.1592615398697,52.5407013394026,1013.9,1011.5,5.01166206194562,4.75163508466874,20.5,22.1,NA,NA,0,"0"
2017,3,22,"Albury",16.9774173321054,26.6,0.590620782726046,6.91496212121212,7.57291139240506,"SE",40.0001226447871,"SE","SE",13.5682250316312,18.1614556925526,72.1592615398697,52.5407013394026,1013.1,1012,5.01166206194562,4.75163508466874,21.6,23.6,NA,NA,0,"0"
2009,6,11,"BadgerysCreek",0,15.3,0,2.22087431693989,5.6304152637486,"N",33.2534013605442,"W","SW",11,19,53,35,1021.4,1018.6,4.37130177514793,4.46676737160121,8.2,14.9,0,NA,0,"0"
2009,6,21,"BadgerysCreek",10,16.6,1.4,2.22087431693989,5.6304152637486,"NNE",15,"WNW","NNE",0,11,100,92,1024.1,1021,6.01818181818182,5.84386617100372,12.3,15.5,1,NA,1,"1"
2009,10,4,"BadgerysCreek",10.5,17.1,2,5.83394793926247,8.54931972789116,"E",24,"S","ESE",11,6,93,81,1022.3,1020.1,5.71052631578947,5.66666666666667,12.2,14.6,1,NA,0,"0"
2009,10,26,"BadgerysCreek",12.3,16.7,2,5.83394793926247,8.54931972789116,"SSE",50,"S","SSE",13,20,97,64,1024.5,1026.2,5.71052631578947,5.66666666666667,12.9,15.5,1,NA,0,"0"
2009,10,27,"BadgerysCreek",11.1228785675418,17.3,0.446132008516679,5.83394793926247,8.54931972789116,"SSE",42.7019835917074,"E","S",15.658381210513,20.5902631182528,63.3502007632185,49.1070122198622,1030.1,1027.9,4.02950123745965,4.11495261323222,16.5282951289398,16.7,NA,NA,0,"0"
2009,12,11,"BadgerysCreek",17,29.9,0,8.15556756756757,9.46399082568807,"SE",43.1412835249042,"WSW","SSW",26,22,26,11,1012.9,1012.6,3.84253028263795,3.83518005540166,22.6,28.5,0,NA,0,"0"
2010,1,7,"BadgerysCreek",19.4,24.1,0,8.35799338478501,9.38511627906977,"SSE",43.457264957265,"S","ESE",7,17,70,57,1018.6,1017.2,3.65471447543161,3.52341597796143,20.7,23.2,0,NA,0,"0"
2010,1,8,"BadgerysCreek",17.3357803933827,29.8,0.332526690391459,8.35799338478501,9.38511627906977,"SSE",43.6981002785273,"SE","SE",15.0395281103682,20.786713367393,60.1807967093093,44.3011234546701,1022.1,1018.7,4.09870108432975,3.9418667116524,20.3,27.7,NA,NA,0,"0"
2010,1,24,"BadgerysCreek",17,25.3,1.4,8.35799338478501,9.38511627906977,"E",31,"SSW","N",9,11,94,61,1017.1,1014.1,6.54268292682927,6.24528301886792,17.4,25,1,NA,0,"0"
2010,1,29,"BadgerysCreek",16.6,30.9,2,8.35799338478501,9.38511627906977,"SE",45.0238095238095,"SW","E",2,19,99,54,1008.9,1009.6,6.54268292682927,6.24528301886792,20.3,29.6,1,NA,0,"0"
2010,2,3,"BadgerysCreek",20,28,2,7.27030878859857,8.64339152119701,"S",41.7818532818533,"ESE","ENE",15,28,90,60,1015.1,1013.8,6.32142857142857,6.01546391752577,23.1,27.6,1,NA,0,"0"
2010,2,11,"BadgerysCreek",19.3,33.1,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"E","NNE",0,11,82,42,1017.4,1012.6,3.84745762711864,4.19278996865204,23.9,32.8,0,NA,0,"0"
2010,2,12,"BadgerysCreek",18.1852654579677,36.6,0.485463258785943,7.27030878859857,8.64339152119701,"SE",42.4673452968011,"E","SE",14.853849772859,19.8164159530873,67.9112122698605,51.1808434543935,1009,1006,4.42050201517765,4.61497482901417,24.5,34.9,NA,NA,0,"0"
2010,2,17,"BadgerysCreek",15.2,27.1,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"SW","ENE",13,11,68,50,1017.1,1015.5,3.84745762711864,4.19278996865204,19.9,26.3,0,NA,0,"0"
2010,2,22,"BadgerysCreek",18.3,35.8,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"N","NW",7,17,76,32,1015.8,1011.7,3.84745762711864,4.19278996865204,24.1,34.7,0,NA,0,"0"
2010,2,27,"BadgerysCreek",13.8,31.6,0,7.27030878859857,8.64339152119701,"SE",42.6739904988124,"E","N",0,9,86,37,1022,1017.4,3.84745762711864,4.19278996865204,18.9,30.5,0,NA,0,"0"
2010,3,8,"BadgerysCreek",19.8,30.8,0,5.88224598930481,7.68097826086957,"N",43,"NNE","N",13,28,82,52,1011.8,1009.3,3.97625329815303,4.04716981132075,23.4,29,0,NA,0,"0"
2010,3,9,"BadgerysCreek",16.1468897155337,28.7,0.441606886657102,5.88224598930481,7.68097826086957,"SE",39.1558338022099,"SE","SE",13.5291036892809,18.3374404566142,70.1375282612706,49.8014059539092,1013.9,1012.9,4.43431228337915,4.46485876449061,21.7,27.7,NA,NA,0,"0"
2010,3,19,"BadgerysCreek",12.2,33,0,5.88224598930481,7.68097826086957,"SE",38.073778664008,"SE","SW",0,7,99,31,1022.8,1018.8,3.97625329815303,4.04716981132075,15.9,31.7,0,NA,0,"0"
2010,4,23,"BadgerysCreek",11.3,30.4,0.2,3.91650055370986,6.87801339285714,"N",33.7920536635707,"NW","SW",7,7,69,38,1021.3,1015.9,4.02896551724138,4.56083916083916,20.1,27.6,0,NA,0,"0"
2010,4,30,"BadgerysCreek",6.5,23.7230994152047,0,3.91650055370986,6.87801339285714,"N",33.7920536635707,"WSW","SW",7,16.1872015281757,66,50.3648519579752,1025.8,1016.35096,4.02896551724138,4.56083916083916,15.8,22.4994822485207,0,NA,0,"0"
2010,5,1,"BadgerysCreek",9.34635049100356,19.8367877492877,0.545872218234027,2.8297529538131,6.2917211328976,"N",34.6069192864077,"N","N",11.7090552892972,15.6670749410121,75.767123264604,56.2293509630037,1018.46057542768,1015.91470588235,4.34277541378374,4.67120584608022,13.8917085427136,18.6866857551897,NA,NA,0,"0"
2010,5,2,"BadgerysCreek",9.34635049100356,19.8367877492877,0.545872218234027,2.8297529538131,6.2917211328976,"N",34.6069192864077,"N","N",11.7090552892972,15.6670749410121,75.767123264604,56.2293509630037,1018.46057542768,1015.91470588235,4.34277541378374,4.67120584608022,13.8917085427136,18.6866857551897,NA,NA,0,"0"
2010,5,5,"BadgerysCreek",8.2,19.5,0.4,2.8297529538131,6.2917211328976,"N",32.8203933747412,"WNW","WSW",9,30,92,41,1013,1012.3,3.79833101529903,4.24928774928775,14.2,16.7,0,NA,0,"0"
2010,5,6,"BadgerysCreek",9.34635049100356,20.7,0.545872218234027,2.8297529538131,6.2917211328976,"N",34.6069192864077,"N","N",11.7090552892972,15.6670749410121,75.767123264604,56.2293509630037,1018.46057542768,1019.2,4.34277541378374,4.67120584608022,13.8917085427136,19.4,NA,NA,0,"0"
2010,5,8,"BadgerysCreek",4,24.1,0,2.8297529538131,6.2917211328976,"N",32.8203933747412,"W","ENE",2,7,61,38,1022.6,1019.5,3.79833101529903,4.24928774928775,14,23.5,0,NA,0,"0"
2010,5,15,"BadgerysCreek",5.7,22.1,0,2.8297529538131,6.2917211328976,"N",32.8203933747412,"SSW","S",19,9,52,34,1018.3,1016.2,3.79833101529903,4.24928774928775,14.8,20.8,0,NA,0,"0"
2010,5,18,"BadgerysCreek",10.6,18.1,0,2.8297529538131,6.2917211328976,"N",32.8203933747412,"SW","S",13,11,77,64,1018.9,1017.9,3.79833101529903,4.24928774928775,14,17.8,0,NA,0,"0"
2010,5,25,"BadgerysCreek",11.2,19.8367877492877,2,2.8297529538131,6.2917211328976,"SSW",39.9511400651466,"W","NE",0,7,100,81,1012,1007.1,5.97142857142857,5.93333333333333,13,16.2,1,NA,0,"0"
2010,5,28,"BadgerysCreek",9.8,20.4,1,2.8297529538131,6.2917211328976,"N",32.8203933747412,"N","NNE",0,15,99,52,1021.5,1017.5,3.79833101529903,4.24928774928775,11.9,19.3,0,NA,0,"0"
2010,6,21,"BadgerysCreek",5.5,17.8,0,2.26883977900552,5.88280898876404,"SE",26,"N","SSE",0,9,79,62,1033.3,1032.9,3.90416666666667,4.38591549295775,11.9,16.8,0,NA,0,"0"
2010,6,29,"BadgerysCreek",-1.2,15,0,2.26883977900552,5.88280898876404,"N",32.3985823336968,"N","N",0,4,82,39,1020.3,1017.1,3.90416666666667,4.38591549295775,5,14,0,NA,0,"0"
2010,7,10,"BadgerysCreek",4.6,17.3,0,2.21961206896552,5.62408435072142,"N",20,"N","N",0,9,100,66,1029,1025.6,4.40456989247312,4.9015047879617,9.2,15.9,0,NA,0,"0"
2010,8,13,"BadgerysCreek",8.2,18.8,0,3.09372900335946,6.72613636363636,"N",38.8945005611672,"WSW","WSW",26,11,52,42,1012.9,1012.2,3.5959595959596,3.97008547008547,13.7,17.2,0,NA,0,"0"
2010,8,18,"BadgerysCreek",0.5,19.9,0,3.09372900335946,6.72613636363636,"N",38.8945005611672,"N","NNE",0,20,84,45,1020.9,1011.5,3.5959595959596,3.97008547008547,7.3,19.4,0,NA,0,"0"
2010,8,23,"BadgerysCreek",8.1,14.2,0,3.09372900335946,6.72613636363636,"N",38.8945005611672,"N","NNE",7,9,87,68,1017.3,1011.4,3.5959595959596,3.97008547008547,10.3,13.3,0,NA,0,"0"
2010,10,15,"BadgerysCreek",14.7,24.2,0.2,5.06598407281001,7.8594778660613,"NE",39.8933747412008,"NNE","N",22,40.5,83,65,999.1,996,3.65765765765766,4.08814589665653,20,22.8,0,NA,0,"0"
2010,12,22,"BadgerysCreek",10.6,25.6,0,6.3693722943723,8.1575,"E",43.1040748898678,"S","E",9,19,67,53,1019.1,1017.8,4.13085621970921,4.25795644891122,20.6,25.1,0,NA,0,"0"
2011,8,4,"BadgerysCreek",4.8,25.3,0,3.24732650739477,7.15890570430733,"N",34.9894291754757,"N","NNE",0,9,100,37,1026.9,1023.5,3.28067484662577,3.74407582938389,12.4,25.1,0,NA,0,"0"
2011,11,1,"BadgerysCreek",13.7,22.4,0,6.57546296296296,8.21495215311005,"NNE",42.2937293729373,"ENE","WSW",6,19.8682851239669,65,47.297213622291,1020.2,1012.87604166667,4.32367149758454,4.53507340946166,16.8,23.9641495601173,0,NA,0,"0"
2011,11,7,"BadgerysCreek",18.3,31.4,0,6.57546296296296,8.21495215311005,"NNE",42.2937293729373,"E","SE",6,22,64,64,1013.3,1011.5,4.32367149758454,4.53507340946166,25.4,24.4,0,NA,0,"0"
2012,1,27,"BadgerysCreek",19.2,23.9,2,8.24311377245509,9.03866995073892,"SE",37,"SSW","E",9,11,95,81,1017.7,1016.8,6.36040609137056,6,20.7,22.6,1,NA,0,"0"
2012,8,27,"BadgerysCreek",0.6,19.1,0,3.49849187935035,7.31596534653465,"N",40.0473372781065,"W","NE",2,15,64,36,1025.3,1021.7,3.43960674157303,3.88529411764706,11.2,18.6,0,NA,0,"0"
2012,8,28,"BadgerysCreek",6.58364817935754,20,0.490486564996369,3.49849187935035,7.31596534653465,"N",42.1620135011251,"N","W",14.3733252378061,19.9781989234921,68.0801518890354,49.2347475698942,1024.4,1019.5,3.86942444517169,4.30547751438884,10.6,20,NA,NA,0,"0"
2013,8,6,"BadgerysCreek",5.3,22.7,0,3.76601307189542,7.36711990111248,"WNW",54,"NW","WNW",19,26,49,38,1011.8,1007.5,3.08605341246291,3.37689969604863,16.6,20.1,0,NA,0,"0"
2013,8,21,"BadgerysCreek",5.5,19.2487788778878,0,3.76601307189542,7.36711990111248,"WSW",50,"WSW","W",24,17,51,39,1016.4,1013.7,3.08605341246291,3.37689969604863,11.6,15.5,0,NA,0,"0"
2013,9,2,"BadgerysCreek",5.6,24.8,0,5.23919540229885,7.6193838254172,"NNE",15,"N","N",0,4,84,33,1031.3,1028.8,3.41240310077519,3.65849923430322,13.3,23.8,0,NA,0,"0"
2014,3,10,"BadgerysCreek",15.8,29.4,0,6.07888268156425,7.62364779874214,"E",30,"SW","NNW",6,6,91,47,1023.5,1020.7,4.11295180722892,4.16196136701337,20.1,27.9,0,NA,0,"0"
2014,5,4,"BadgerysCreek",10.2,19.1,1.2,3.33404791929382,6.00238095238095,"W",57,"WSW","W",22,26,52,41,1001.9,1004.7,5.76,5.79820627802691,16,17.3,1,NA,0,"0"
2014,5,15,"BadgerysCreek",5.8,22.5,0.2,3.33404791929382,6.00238095238095,"NNW",13,"N","NNE",0,6,100,39,1028.8,1025.1,4.44921316165951,4.68526466380544,12.1,22.2,0,NA,0,"0"
2014,5,16,"BadgerysCreek",10.8042279183352,24.2,0.506721536351166,3.33404791929382,6.00238095238095,"N",34.6650504257432,"N","N",11.741796861656,15.6065177779652,76.4703320789548,57.1114810849777,1029.6,1026.6,4.75578264854162,4.9455617080095,12.6,23.6,NA,NA,0,"0"
2014,6,8,"BadgerysCreek",6.9,17.6,0,2.76762778505898,5.46378066378066,"SW",33,"WSW","S",17,13,66,54,1027.2,1025.8,4.03374233128834,4.41321044546851,12.5,16.3,0,NA,0,"0"
2014,6,11,"BadgerysCreek",6.7,17.7700547570157,1.2,2.76762778505898,5.46378066378066,"W",41.1232492997199,"SW","WSW",9,17.6140583554377,96,73.3498694516971,1026.8,1018.31914396887,6.42412451361868,5.91764705882353,11.6,16.6854595336077,1,NA,0,"0"
2014,6,12,"BadgerysCreek",8.50671585269656,17.7700547570157,0.587114845938375,2.76762778505898,5.46378066378066,"N",37.664893836432,"N","N",13.0439298377303,16.648612366236,78.0887401158731,60.7843235660011,1020.54020979021,1018.31914396887,4.67820811574015,4.81881835593187,12.2209732693626,16.6854595336077,NA,NA,0,"0"
2014,10,7,"BadgerysCreek",16.6,27.7,0,6.96683738796415,9.04295874822191,"WSW",61,"S","E",7,13,76,24,1008.2,1007.6,3.57236842105263,3.39811066126856,17.8,27.5,0,NA,0,"0"
2014,10,30,"BadgerysCreek",11.3,32.2,0,6.96683738796415,9.04295874822191,"W",26,"WSW","NNW",4,7,74,24,1015.5,1011.2,3.57236842105263,3.39811066126856,19.6,30.5,0,NA,0,"0"
2015,1,8,"BadgerysCreek",16.9,33.7,0,7.80526315789474,8.52496513249651,"SSE",43.1042884990253,"N","NNE",4,7,67,30,1015.9,1010.2,4.17165354330709,4.16899224806202,23.1,33.1,0,NA,0,"0"
2015,9,9,"BadgerysCreek",5.8,19.9,0,4.94091520861373,8.04363905325444,"SW",28,"SW","S",6,13,61,41,1022.60603653693,1019.82373015873,3.26889534883721,3.64451313755796,13.2,19.2,0,NA,0,"0"
2015,11,13,"BadgerysCreek",14.7,28.6,2,7.53830911492734,8.79033189033189,"S",43.1439114391144,"NNE","NNE",6,19,80,78,1013.1,1009,6.01990049751244,5.72375690607735,20.9,23.1,1,NA,0,"0"
2015,11,14,"BadgerysCreek",14.9972478546189,27.0278087927425,0.445795053003534,7.53830911492734,8.79033189033189,"W",42.0944475593166,"SE","WSW",14.9350639477374,20.2278661668636,62.3652875097671,46.8877852323044,1015.09551534225,1012.54673998429,4.54011032607444,4.52082910115405,20.5966457023061,24.974126394052,NA,NA,0,"0"
2015,11,15,"BadgerysCreek",14.9972478546189,27.0278087927425,0.445795053003534,7.53830911492734,8.79033189033189,"W",42.0944475593166,"SE","WSW",14.9350639477374,20.2278661668636,62.3652875097671,46.8877852323044,1015.09551534225,1012.54673998429,4.54011032607444,4.52082910115405,20.5966457023061,24.974126394052,NA,NA,0,"0"
2015,11,16,"BadgerysCreek",14.9972478546189,27.0278087927425,0.445795053003534,7.53830911492734,8.79033189033189,"W",42.0944475593166,"SE","WSW",14.9350639477374,20.2278661668636,62.3652875097671,46.8877852323044,1015.09551534225,1012.54673998429,4.54011032607444,4.52082910115405,20.5966457023061,24.974126394052,NA,NA,0,"0"
2015,11,17,"BadgerysCreek",14.9972478546189,27.6,0.445795053003534,7.53830911492734,8.79033189033189,"W",42.0944475593166,"SE","WSW",14.9350639477374,20.2278661668636,62.3652875097671,46.8877852323044,1015.09551534225,1014.8,4.54011032607444,4.52082910115405,20.5966457023061,27,NA,NA,0,"0"
2016,11,30,"BadgerysCreek",16.4,29.4,0,7.96132879045997,9.17331606217617,"WSW",41.8488372093023,"N","E",7,20,70,60,1012.3,1007.3,4.36405529953917,4.38336713995943,21.6,26,0,NA,0,"0"
2016,12,1,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,2,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,3,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,4,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,5,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,6,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,7,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,8,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,9,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,10,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,11,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,12,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,13,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
2016,12,14,"BadgerysCreek",16.0543412864146,28.45,0.449188426252646,8.61857638888889,9.17474489795918,"NE",43.3475944267394,"N","SW",15.0504187007545,20.1247562588643,61.9247026497202,46.1675909646557,1012.59024480712,1010.32520385471,5.04931146004602,4.61695624560793,21.6768251841929,26.3705173635719,NA,NA,0,"0"
